created_at,full_text,sentiment
Tue Jun 17 13:13:45 +0000 2025,Pembayaran Harian yang Praktis Ada PEXX Card yang bisa kamu pakai untuk membayar layanan transportasi online seperti Gojek atau Grab hingga berbelanja di e-commerce seperti Tokopedia dan Shopee. Nggak perlu repot top-up banyak aplikasi cukup satu kartu untuk semua.,neutral
Tue Jun 17 12:46:31 +0000 2025,Aplikasi online yg ada fitur mobil pick up nya apa ya? Yg mobil bak kebuka itu. Soalnya di gojek rasanya bukan pick up,negative
Tue Jun 17 12:10:21 +0000 2025,Aku lagi survey data tentang seberapa sering kita pakai aplikasi kayak Gojek Grab Maxim sama Shopee Food. Tenang aja surveinya: Super singkat! Cuma 9 pertanyaan https://t.co/2rEDZ7pmby Makasih ya buat yang udah mau nyempetin waktu! You're the best!,neutral
Tue Jun 17 10:50:57 +0000 2025,@e100ss Bukan ide baru. Bahkan lahirnya gojek juga awalnya krn ada aplikasi semacam ini. Terbukti gabisa jd solusi. Transum tetep jawaban.,negative
Tue Jun 17 10:16:52 +0000 2025,Pesan Taksi Listrik Green SM Kini Bisa via Aplikasi Gojek https://t.co/6lphrM4jJ4,positive
Tue Jun 17 10:00:02 +0000 2025,Perluas akses layanan taksi listrik Green SM kini bisa dipesan via aplikasi Gojek! #ThePhraseID #GreenSM #Gojek #taksilistrik #EV #BEV #ElectricVehicle #mobillistrik #otomotif https://t.co/WsAefuqE46,positive
Tue Jun 17 03:49:43 +0000 2025,@txtdrjkt 2013. Gw pake google maps mau ke Samsat Barat muter Semanggi 3x nyerah. Dpn hotel bilangan Kuningan gw samperin Gojek yg baru nurunin penumpang. Minta anter. Bayar sesuai aplikasi masukin kode id order yg dikasih mamangnya. Eh dibawa masuk jalur busway &amp; gabisa nolak. ‍️,negative
Tue Jun 17 03:37:53 +0000 2025,ada ga yg bisa cairin gopaylater via gofood atau apapun itu di aplikasi gojek?? #zonauang,neutral
Mon Jun 16 14:04:36 +0000 2025,@thelittleeight gojek aja jarang ada yg mau ngambil dari aplikasi kak rata2 pada nembak. gocar juga pasti gituu apalagi kalo macet biasanya pada males ngambil,negative
Mon Jun 16 13:14:30 +0000 2025,@JO0YCCC surabaya emang murce nder gojek/grabnya asal gak yang naik tanpa aplikasi ditembak entar *korban 20k,positive
