clean_text,sentiment
pembayaran harian yang praktis ada pexx card yang bisa kamu pakai untuk membayar layanan transportasi online seperti gojek atau grab hingga berbelanja di ecommerce seperti tokopedia dan shopee nggak perlu repot topup banyak aplikasi cukup satu kartu untuk semua,negative
aplikasi online yg ada fitur mobil pick up nya apa ya yg mobil bak kebuka itu soalnya di gojek rasanya bukan pick up,neutral
aku lagi survey data tentang seberapa sering kita pakai aplikasi kayak gojek grab maxim sama shopee food tenang aja surveinya super singkat cuma pertanyaan makasih ya buat yang udah mau nyempetin waktu youre the best,negative
bukan ide baru bahkan lahirnya gojek juga awalnya krn ada aplikasi semacam ini terbukti gabisa jd solusi transum tetep jawaban,positive
pesan taksi listrik green sm kini bisa via aplikasi gojek,neutral
perluas akses layanan taksi listrik green sm kini bisa dipesan via aplikasi gojek thephraseid greensm gojek taksilistrik ev bev electricvehicle mobillistrik otomotif,neutral
gw pake google maps mau ke samsat barat muter semanggi x nyerah dpn hotel bilangan kuningan gw samperin gojek yg baru nurunin penumpang minta anter bayar sesuai aplikasi masukin kode id order yg dikasih mamangnya eh dibawa masuk jalur busway amp gabisa nolak ‍️,neutral
ada ga yg bisa cairin gopaylater via gofood atau apapun itu di aplikasi gojek zonauang,neutral
gojek aja jarang ada yg mau ngambil dari aplikasi kak rata pada nembak gocar juga pasti gituu apalagi kalo macet biasanya pada males ngambil,positive
surabaya emang murce nder gojekgrabnya asal gak yang naik tanpa aplikasi ditembak entar korban k,positive
aplikasi gojek sama spotify kalo bisa jangan disatuin di slide yg sama selalu sukses bikin keder,neutral
cara atasi kendala top up pulsa tri cek saldo rekening amp pastikan cukup restart hp coba top up ulang coba top up di aplikasi berbeda misal gojek dana atau shopee hubungi cs melalui wa semoga berhasil,neutral
green sm dan gojek berkolaborasi dalam penyediaan layanan green sm di aplikasi gojek,neutral
semoga penyakit suka mindahin titik sendiri ke tempat yg jauh padahal gua masih di tempat yg sama ky pesenan sebelomnya yg diderita aplikasi gojek cpt sembuh anjg,negative
selamat siang apabila yang dimaksud etoll emoney terbitan bank mandiri kartu tersebut dapat digunakan untuk perjalanan commuter line prameks untuk pembelian qr tiket di aplikasi gojek pada fitur gotransit belum dapat ditentukan masuk kuota tiket pembelian qr tiket bisa,neutral
green sm penyedia layanan armada persen taksi listrik resmi berkolaborasi dengan gojek dalam menghadirkan layanan gogreen sm yang kini tersedia di aplikasi gojek ta greensm gojek,neutral
belinya lewat apa aplikasi mereka atau gojekovoshopeepay atau mbanking kemaren ngisi lewat mbanking mandiri dan bca gak ada masalah,neutral
aplikasi gojek nder,neutral
selamat malam kak qris tap saat ini belum bisa digunakan sebagai tiket commuter line ya kak alternatif bisa unduh aplikasi caccesaccess by kaigojek gotransit untuk pembelian tiket via scan qr code ya kak tks,neutral
