full_text,preprocessed,label
 Pembayaran Harian yang Praktis Ada PEXX Card yang bisa kamu pakai untuk membayar layanan transportasi online seperti Gojek atau Grab hingga berbelanja di e-commerce seperti Tokopedia dan Shopee. Nggak perlu repot top-up banyak aplikasi cukup satu kartu untuk semua.,bayar hari praktis pexx card kamu pakai bayar layan transportasi online gojek grab hingga belanja ecommerce tokopedia shopee perlu repot topup banyak aplikasi cukup satu kartu semua,positif
Aplikasi online yg ada fitur mobil pick up nya apa ya? Yg mobil bak kebuka itu. Soalnya di gojek rasanya bukan pick up,aplikasi online fitur mobil pick nya apa mobil bak buka soal gojek rasa bukan pick,netral
Aku lagi survey data tentang seberapa sering kita pakai aplikasi kayak Gojek Grab Maxim sama Shopee Food. Tenang aja surveinya: Super singkat! Cuma 9 pertanyaan https://t.co/2rEDZ7pmby Makasih ya buat yang udah mau nyempetin waktu! You're the best! ,aku survey data berapa sering pakai aplikasi kayak gojek grab maxim sama shopee food tenang aja survei super singkat cuma tanya makasih buat udah mau nyempetin waktu youre the best,netral
@e100ss Bukan ide baru. Bahkan lahirnya gojek juga awalnya krn ada aplikasi semacam ini. Terbukti gabisa jd solusi. Transum tetep jawaban.,bukan ide baru bahkan lahir gojek awal krn aplikasi macam bukti gabisa solusi transum tetep jawab,netral
Pesan Taksi Listrik Green SM Kini Bisa via Aplikasi Gojek https://t.co/6lphrM4jJ4,pesan taksi listrik green kini via aplikasi gojek,netral
Perluas akses layanan taksi listrik Green SM kini bisa dipesan via aplikasi Gojek! #ThePhraseID #GreenSM #Gojek #taksilistrik #EV #BEV #ElectricVehicle #mobillistrik #otomotif https://t.co/WsAefuqE46,luas akses layan taksi listrik green kini pes via aplikasi gojek,netral
@txtdrjkt 2013. Gw pake google maps mau ke Samsat Barat muter Semanggi 3x nyerah. Dpn hotel bilangan Kuningan gw samperin Gojek yg baru nurunin penumpang. Minta anter. Bayar sesuai aplikasi masukin kode id order yg dikasih mamangnya. Eh dibawa masuk jalur busway &amp; gabisa nolak. ‍️,pake google maps mau samsat barat muter semanggi nyerah dpn hotel bilang kuningan samperin gojek baru nurunin tumpang minta anter bayar sesuai aplikasi masukin kode order kasih mamang bawa masuk jalur busway amp gabisa nolak,netral
ada ga yg bisa cairin gopaylater via gofood atau apapun itu di aplikasi gojek?? #zonauang,cairin gopaylater via gofood apa aplikasi gojek,netral
@thelittleeight gojek aja jarang ada yg mau ngambil dari aplikasi kak rata2 pada nembak. gocar juga pasti gituu apalagi kalo macet biasanya pada males ngambil,gojek aja jarang mau ngambil aplikasi kak rata nembak gocar gituu kalo macet biasa males ngambil,netral
@JO0YCCC surabaya emang murce nder gojek/grabnya asal gak yang naik tanpa aplikasi ditembak entar *korban 20k,surabaya emang murce nder gojekgrabnya asal gak naik aplikasi tembak entar korban,netral
aplikasi gojek sama spotify kalo bisa jangan disatuin di slide yg sama. selalu sukses bikin keder,aplikasi gojek sama spotify kalo jangan disatuin slide sama selalu sukses bikin keder,netral
 Cara Atasi Kendala Top Up Pulsa Tri: 1. Cek saldo rekening &amp; pastikan cukup 2. Restart HP coba top up ulang 3. Coba top up di aplikasi berbeda (misal Gojek Dana atau Shopee) 4. Hubungi CS @3careindonesia melalui WA Semoga berhasil!,cara atas kendala top pulsa tri cek saldo rekening amp pasti cukup restart coba top ulang coba top aplikasi beda misal gojek dana shopee hubung lalu moga hasil,positif
